rank,imdb_id,title,year,imdb_rating,votes,content_type,runtime_min,genres,certificate,plot
1,tt0903747,Breaking Bad,2008,9.5,9,tv_show,48.0,Dark Comedy|Drug Crime|Psychological Drama|Psychological Thriller|Tragedy|Crime|Drama|Thriller|Character development|Cinematography|Dark humor|Dramatic tension|Social commentary|Suspenseful|Writing|Family dynamics|Morality|Pacing,TV-MA,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.
2,tt5491994,Planet Earth II,2016,9.4,9,tv_show,50.0,Docuseries|Nature Documentary|Documentary|Family|Cinematography|Dramatic tension|Educational|Environmentalism|Inspirational|Technical achievement|Visual spectacle|Narration|Social commentary|Sound design,TV-G,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.
3,tt0795176,Planet Earth,2006,9.4,9,tv_show,50.0,Docuseries|Nature Documentary|Documentary|Family|Ambitious|Cinematography|Educational|Environmentalism|Narration|Realism|Technical achievement|Visual spectacle|Sound design|Survival,TV-PG,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough."
4,tt0185906,Band of Brothers,2001,9.4,9,tv_show,,Historical Epic|Psychological Drama|Tragedy|War Epic|Action|Drama|History|War|Action sequences|Authentic emotion|Character development|Cinematography|Courage|Emotional weight|Friendship|Historical accuracy|Inspirational|Realism,TV-MA,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
5,tt7366338,Chernobyl,2019,9.3,9,tv_show,,Disaster|Docudrama|Epic|Historical Epic|Period Drama|Psychological Drama|Drama|History|Thriller|Authentic emotion|Character development|Cinematography|Direction|Dramatic tension|Production design|Scientific depth|Historical accuracy|Social commentary,TV-MA,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months."
6,tt0306414,The Wire,2002,9.3,9,tv_show,,Cop Drama|Drug Crime|Epic|Police Procedural|Psychological Drama|Psychological Thriller|Crime|Drama|Thriller|Authentic emotion|Gritty|Narrative complexity|Performance|Realism|Social commentary|Thought-provoking|Writing,TV-MA,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
7,tt0417299,Avatar: The Last Airbender,2005,9.3,9,tv_show,23.0,Adventure Epic|Epic|Fantasy Epic|Globetrotting Adventure|Hand-Drawn Animation|Martial Arts|Quest|Supernatural Fantasy|Teen Adventure|Teen Fantasy|Animation style|Character development|Emotional weight|Friendship|Generational appeal|Philosophical elements|Worldbuilding|Dramatic depth,TV-Y7-FV,"In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
8,tt0141842,The Sopranos,1999,9.2,9,tv_show,55.0,Epic|Gangster|Psychological Drama|Crime|Drama|Authentic emotion|Character development|Comedic brilliance|Dark humor|Family dynamics|Narrative complexity|Realism|Social commentary|Writing,TV-MA,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
9,tt6769208,Blue Planet II,2017,9.3,9,tv_show,50.0,Docuseries|Nature Documentary|Documentary|Family|Cinematography|Educational|Environmentalism|Inspirational|Narration|Realism|Social commentary|Technical achievement|Visual spectacle|Sound design,TV-G,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face."
10,tt2395695,Cosmos: A Spacetime Odyssey,2014,9.2,9,tv_show,45.0,Docuseries|Science & Technology Documentary|Documentary|Family|Cosmic wonder|Educational|Generational appeal|Inspirational|Scientific depth|Thought-provoking|Narration|Social commentary,TV-PG,An exploration of our discovery of the laws of nature and coordinates in space and time.
11,tt0081846,Cosmos,1980,9.3,9,tv_show,,Docuseries|Science & Technology Documentary|Documentary|Ambitious|Cosmic wonder|Educational|Inspirational|Narration|Philosophical elements|Scientific depth|Soundtrack,TV-PG,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.
12,tt9253866,Our Planet,2019,9.2,9,tv_show,50.0,Docuseries|Nature Documentary|Documentary|Family|Cinematography|Educational|Environmentalism|Inspirational|Technical achievement|Thought-provoking|Visual spectacle|Narration|Realism|Social commentary,TV-PG,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography."
13,tt0944947,Game of Thrones,2011,9.2,9,tv_show,,Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Psychological Drama|Sword & Sorcery|Tragedy|Action|Adventure|Action sequences|Adaptation|Character development|Cinematography|Dramatic tension|Narrative complexity|Production design|Soundtrack|Worldbuilding,TV-MA,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
14,tt7678620,Bluey,2018,9.3,9,tv_show,7.0,Animal Adventure|Coming-of-Age|Hand-Drawn Animation|Animation|Family|Authentic emotion|Comedic brilliance|Comforting|Educational|Family dynamics|Heartfelt|Inspirational|Relatable,TV-Y,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.
15,tt0071075,The World at War,1973,9.2,9,tv_show,52.0,Docuseries|History Documentary|Military Documentary|Documentary|History|War|Authentic emotion|Educational|Emotional weight|Historical accuracy|Human experience|Narration|Realism|Thought-provoking|Social commentary,TV-PG,"26-part documentary series tracing World War II from the rise of Nazi Germany through the conflict's major campaigns and home fronts, using archival footage and firsthand interviews, narrated by Laurence Olivier."
16,tt1355642,Fullmetal Alchemist: Brotherhood,2009,9.1,9,tv_show,24.0,Japanese|Adult Animation|Anime|Epic|Fantasy Epic|Hand-Drawn Animation|Political Drama|Psychological Drama|Shōnen|Steampunk|Action sequences|Adaptation|Animation style|Character development|Emotional stakes|Family dynamics|Philosophical elements|Soundtrack|Worldbuilding,TV-14,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
17,tt2560140,Attack on Titan,2013,9.1,9,tv_show,24.0,Japanese|Action Epic|Adult Animation|Anime|Body Horror|Dark Fantasy|Epic|Fantasy Epic|Folk Horror|Hand-Drawn Animation|Action sequences|Animation style|Character development|Dystopian elements|Emotional stakes|Narrative complexity|Philosophical elements|Soundtrack|Suspenseful|Worldbuilding,TV-MA,"In a world where humanity shelters behind towering walls from man-eating Titans, a determined teen joins the elite Survey Corps to fight the giants and uncover the secrets of their origin."
18,tt1533395,Life,2009,9.1,9,tv_show,50.0,Docuseries|Nature Documentary|Documentary|Ambitious|Cinematography|Educational|Inspirational|Narration|Visual spectacle|Character development|Production design|Suspenseful,TV-G,"A global view of the specialized strategies and extreme behavior that living things have developed in order to survive; what Charles Darwin termed ""the struggle for existence."""
19,tt8420184,The Last Dance,2020,9.0,9,tv_show,50.0,Basketball|Docuseries|Sports Documentary|Biography|Documentary|History|Sport|Dramatic tension|Emotional weight|Historical accuracy|Nostalgic|Personal growth|Inner conflict|Social commentary|Confusing,TV-MA,"Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history."
20,tt0052520,The Twilight Zone,1959,9.0,9,tv_show,50.0,Body Horror|Dark Fantasy|Dystopian Sci-Fi|Psychological Drama|Psychological Horror|Space Sci-Fi|Supernatural Fantasy|Supernatural Horror|Time Travel|Drama,TV-PG,"Classic American Anthology series created by Rod Serling, featuring standalone stories of science fiction, fantasy, and horror, each with a twist ending or moral lesson."
21,tt1877514,The Vietnam War,2017,9.1,9,tv_show,100.0,Docuseries|History Documentary|Military Documentary|Documentary|History|War|Cinematography|Educational|Authentic emotion|Emotional weight|Historical accuracy|Human experience|Narration|Social commentary|Sound design,TV-MA,"A documentary series chronicling the Vietnam War through archival footage and firsthand accounts from soldiers, civilians, and leaders on all sides, tracing its origins, major events, and enduring impact on the United States and Vietnam."
22,tt2861424,Rick and Morty,2013,9.0,9,tv_show,23.0,Adult Animation|Buddy Comedy|Cyberpunk|Dark Comedy|Parody|Psychological Drama|Satire|Sitcom|Space Sci-Fi|Time Travel|Comedic brilliance|Dark humor|Character development|Existential|Family dynamics|Philosophical elements|Social commentary|Derivative|Thin story|Uneven quality,TV-MA,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.
23,tt1475582,Sherlock,2010,9.0,9,tv_show,90.0,Police Procedural|Psychological Thriller|Whodunnit|Crime|Drama|Mystery|Thriller|Adaptation|Atmospheric|Chemistry|Cinematography|Comedic brilliance|Friendship|Performance|Suspenseful|Writing,TV-14,"In modern-day London, brilliant but eccentric detective Sherlock Holmes teams with war veteran Dr. John Watson to crack baffling crimes, outwit formidable foes, and aid Scotland Yard with razor-sharp deduction."
24,tt0103359,Batman: The Animated Series,1992,9.0,9,tv_show,23.0,Hand-Drawn Animation|Hard-boiled Detective|Psychological Drama|Superhero|Suspense Mystery|Urban Adventure|Action|Adventure|Animation|Crime|Animation style|Atmospheric|Character development|Dark tone|Enduring legacy|Production design|Soundtrack|Writing,TV-PG,"Billionaire Bruce Wayne secretly operates as Batman, a vigilante who battles a rouges' gallery of criminals and supervillains in Gotham City with the aid of various sidekicks and allies."
25,tt3032476,Better Call Saul,2015,9.0,9,tv_show,45.0,Dark Comedy|Drug Crime|Legal Drama|Psychological Drama|Tragedy|Crime|Drama|Atmospheric|Authentic emotion|Character development|Cinematography|Dark humor|Dramatic depth|Inner conflict|Narrative complexity|Performance|Writing,TV-MA,"Albuquerque lawyer Jimmy McGill scrapes for clients and respect, but every win drags him closer to shady deals, dangerous players, and the alter ego Saul Goodman."
